serial_num,mac_sta,mac_eth,pop_code,qr_code
001d4bf346c4,00:1D:4B:F3:46:C4,00:1D:4B:F3:46:C7,5340,"001d4bf346c4,00:1D:4B:F3:46:C4,00:1D:4B:F3:46:C6,5340"
001d4bf346c8,00:1D:4B:F3:46:C8,00:1D:4B:F3:46:CB,2873,"001d4bf346c8,00:1D:4B:F3:46:C8,00:1D:4B:F3:46:CA,2873"
001d4bf346cc,00:1D:4B:F3:46:CC,00:1D:4B:F3:46:CF,9655,"001d4bf346cc,00:1D:4B:F3:46:CC,00:1D:4B:F3:46:CE,9655"
001d4bf346d0,00:1D:4B:F3:46:D0,00:1D:4B:F3:46:D3,0193,"001d4bf346d0,00:1D:4B:F3:46:D0,00:1D:4B:F3:46:D2,0193"
001d4bf346d4,00:1D:4B:F3:46:D4,00:1D:4B:F3:46:D7,9226,"001d4bf346d4,00:1D:4B:F3:46:D4,00:1D:4B:F3:46:D6,9226"
001d4bf346d8,00:1D:4B:F3:46:D8,00:1D:4B:F3:46:DB,4774,"001d4bf346d8,00:1D:4B:F3:46:D8,00:1D:4B:F3:46:DA,4774"
001d4bf346dc,00:1D:4B:F3:46:DC,00:1D:4B:F3:46:DF,5913,"001d4bf346dc,00:1D:4B:F3:46:DC,00:1D:4B:F3:46:DE,5913"
001d4bf346e0,00:1D:4B:F3:46:E0,00:1D:4B:F3:46:E3,1395,"001d4bf346e0,00:1D:4B:F3:46:E0,00:1D:4B:F3:46:E2,1395"
001d4bf346e4,00:1D:4B:F3:46:E4,00:1D:4B:F3:46:E7,5429,"001d4bf346e4,00:1D:4B:F3:46:E4,00:1D:4B:F3:46:E6,5429"
001d4bf346e8,00:1D:4B:F3:46:E8,00:1D:4B:F3:46:EB,5958,"001d4bf346e8,00:1D:4B:F3:46:E8,00:1D:4B:F3:46:EA,5958"
001d4bf346ec,00:1D:4B:F3:46:EC,00:1D:4B:F3:46:EF,9502,"001d4bf346ec,00:1D:4B:F3:46:EC,00:1D:4B:F3:46:EE,9502"
001d4bf346f0,00:1D:4B:F3:46:F0,00:1D:4B:F3:46:F3,0750,"001d4bf346f0,00:1D:4B:F3:46:F0,00:1D:4B:F3:46:F2,0750"
001d4bf346f4,00:1D:4B:F3:46:F4,00:1D:4B:F3:46:F7,9029,"001d4bf346f4,00:1D:4B:F3:46:F4,00:1D:4B:F3:46:F6,9029"
001d4bf346f8,00:1D:4B:F3:46:F8,00:1D:4B:F3:46:FB,5559,"001d4bf346f8,00:1D:4B:F3:46:F8,00:1D:4B:F3:46:FA,5559"
001d4bf346fc,00:1D:4B:F3:46:FC,00:1D:4B:F3:46:FF,0559,"001d4bf346fc,00:1D:4B:F3:46:FC,00:1D:4B:F3:46:FE,0559"
001d4bf34700,00:1D:4B:F3:47:00,00:1D:4B:F3:47:03,9978,"001d4bf34700,00:1D:4B:F3:47:00,00:1D:4B:F3:47:02,9978"
001d4bf34704,00:1D:4B:F3:47:04,00:1D:4B:F3:47:07,5758,"001d4bf34704,00:1D:4B:F3:47:04,00:1D:4B:F3:47:06,5758"
001d4bf34708,00:1D:4B:F3:47:08,00:1D:4B:F3:47:0B,7417,"001d4bf34708,00:1D:4B:F3:47:08,00:1D:4B:F3:47:0A,7417"
001d4bf3470c,00:1D:4B:F3:47:0C,00:1D:4B:F3:47:0F,4639,"001d4bf3470c,00:1D:4B:F3:47:0C,00:1D:4B:F3:47:0E,4639"
001d4bf34710,00:1D:4B:F3:47:10,00:1D:4B:F3:47:13,0291,"001d4bf34710,00:1D:4B:F3:47:10,00:1D:4B:F3:47:12,0291"
001d4bf34714,00:1D:4B:F3:47:14,00:1D:4B:F3:47:17,1038,"001d4bf34714,00:1D:4B:F3:47:14,00:1D:4B:F3:47:16,1038"
001d4bf34718,00:1D:4B:F3:47:18,00:1D:4B:F3:47:1B,1055,"001d4bf34718,00:1D:4B:F3:47:18,00:1D:4B:F3:47:1A,1055"
001d4bf3471c,00:1D:4B:F3:47:1C,00:1D:4B:F3:47:1F,6945,"001d4bf3471c,00:1D:4B:F3:47:1C,00:1D:4B:F3:47:1E,6945"
001d4bf34720,00:1D:4B:F3:47:20,00:1D:4B:F3:47:23,7985,"001d4bf34720,00:1D:4B:F3:47:20,00:1D:4B:F3:47:22,7985"
001d4bf34724,00:1D:4B:F3:47:24,00:1D:4B:F3:47:27,2230,"001d4bf34724,00:1D:4B:F3:47:24,00:1D:4B:F3:47:26,2230"
001d4bf34728,00:1D:4B:F3:47:28,00:1D:4B:F3:47:2B,5854,"001d4bf34728,00:1D:4B:F3:47:28,00:1D:4B:F3:47:2A,5854"
001d4bf3472c,00:1D:4B:F3:47:2C,00:1D:4B:F3:47:2F,0483,"001d4bf3472c,00:1D:4B:F3:47:2C,00:1D:4B:F3:47:2E,0483"
001d4bf34730,00:1D:4B:F3:47:30,00:1D:4B:F3:47:33,9699,"001d4bf34730,00:1D:4B:F3:47:30,00:1D:4B:F3:47:32,9699"
001d4bf34734,00:1D:4B:F3:47:34,00:1D:4B:F3:47:37,3061,"001d4bf34734,00:1D:4B:F3:47:34,00:1D:4B:F3:47:36,3061"
001d4bf34738,00:1D:4B:F3:47:38,00:1D:4B:F3:47:3B,9825,"001d4bf34738,00:1D:4B:F3:47:38,00:1D:4B:F3:47:3A,9825"
001d4bf3473c,00:1D:4B:F3:47:3C,00:1D:4B:F3:47:3F,7959,"001d4bf3473c,00:1D:4B:F3:47:3C,00:1D:4B:F3:47:3E,7959"
001d4bf34740,00:1D:4B:F3:47:40,00:1D:4B:F3:47:43,7255,"001d4bf34740,00:1D:4B:F3:47:40,00:1D:4B:F3:47:42,7255"
001d4bf34744,00:1D:4B:F3:47:44,00:1D:4B:F3:47:47,0912,"001d4bf34744,00:1D:4B:F3:47:44,00:1D:4B:F3:47:46,0912"
001d4bf34748,00:1D:4B:F3:47:48,00:1D:4B:F3:47:4B,0855,"001d4bf34748,00:1D:4B:F3:47:48,00:1D:4B:F3:47:4A,0855"
001d4bf3474c,00:1D:4B:F3:47:4C,00:1D:4B:F3:47:4F,7476,"001d4bf3474c,00:1D:4B:F3:47:4C,00:1D:4B:F3:47:4E,7476"
001d4bf34750,00:1D:4B:F3:47:50,00:1D:4B:F3:47:53,4864,"001d4bf34750,00:1D:4B:F3:47:50,00:1D:4B:F3:47:52,4864"
001d4bf34754,00:1D:4B:F3:47:54,00:1D:4B:F3:47:57,7133,"001d4bf34754,00:1D:4B:F3:47:54,00:1D:4B:F3:47:56,7133"
001d4bf34758,00:1D:4B:F3:47:58,00:1D:4B:F3:47:5B,1597,"001d4bf34758,00:1D:4B:F3:47:58,00:1D:4B:F3:47:5A,1597"
001d4bf3475c,00:1D:4B:F3:47:5C,00:1D:4B:F3:47:5F,0236,"001d4bf3475c,00:1D:4B:F3:47:5C,00:1D:4B:F3:47:5E,0236"
001d4bf34760,00:1D:4B:F3:47:60,00:1D:4B:F3:47:63,3581,"001d4bf34760,00:1D:4B:F3:47:60,00:1D:4B:F3:47:62,3581"
001d4bf34764,00:1D:4B:F3:47:64,00:1D:4B:F3:47:67,8833,"001d4bf34764,00:1D:4B:F3:47:64,00:1D:4B:F3:47:66,8833"
001d4bf34768,00:1D:4B:F3:47:68,00:1D:4B:F3:47:6B,8108,"001d4bf34768,00:1D:4B:F3:47:68,00:1D:4B:F3:47:6A,8108"
001d4bf3476c,00:1D:4B:F3:47:6C,00:1D:4B:F3:47:6F,4393,"001d4bf3476c,00:1D:4B:F3:47:6C,00:1D:4B:F3:47:6E,4393"
001d4bf34770,00:1D:4B:F3:47:70,00:1D:4B:F3:47:73,1904,"001d4bf34770,00:1D:4B:F3:47:70,00:1D:4B:F3:47:72,1904"
001d4bf34774,00:1D:4B:F3:47:74,00:1D:4B:F3:47:77,9047,"001d4bf34774,00:1D:4B:F3:47:74,00:1D:4B:F3:47:76,9047"
001d4bf34778,00:1D:4B:F3:47:78,00:1D:4B:F3:47:7B,8673,"001d4bf34778,00:1D:4B:F3:47:78,00:1D:4B:F3:47:7A,8673"
001d4bf3477c,00:1D:4B:F3:47:7C,00:1D:4B:F3:47:7F,5200,"001d4bf3477c,00:1D:4B:F3:47:7C,00:1D:4B:F3:47:7E,5200"
001d4bf34780,00:1D:4B:F3:47:80,00:1D:4B:F3:47:83,1602,"001d4bf34780,00:1D:4B:F3:47:80,00:1D:4B:F3:47:82,1602"
001d4bf34784,00:1D:4B:F3:47:84,00:1D:4B:F3:47:87,2137,"001d4bf34784,00:1D:4B:F3:47:84,00:1D:4B:F3:47:86,2137"
001d4bf34788,00:1D:4B:F3:47:88,00:1D:4B:F3:47:8B,1982,"001d4bf34788,00:1D:4B:F3:47:88,00:1D:4B:F3:47:8A,1982"
001d4bf3478c,00:1D:4B:F3:47:8C,00:1D:4B:F3:47:8F,2499,"001d4bf3478c,00:1D:4B:F3:47:8C,00:1D:4B:F3:47:8E,2499"
001d4bf34790,00:1D:4B:F3:47:90,00:1D:4B:F3:47:93,5033,"001d4bf34790,00:1D:4B:F3:47:90,00:1D:4B:F3:47:92,5033"
001d4bf34794,00:1D:4B:F3:47:94,00:1D:4B:F3:47:97,6893,"001d4bf34794,00:1D:4B:F3:47:94,00:1D:4B:F3:47:96,6893"
001d4bf34798,00:1D:4B:F3:47:98,00:1D:4B:F3:47:9B,6512,"001d4bf34798,00:1D:4B:F3:47:98,00:1D:4B:F3:47:9A,6512"
001d4bf3479c,00:1D:4B:F3:47:9C,00:1D:4B:F3:47:9F,2005,"001d4bf3479c,00:1D:4B:F3:47:9C,00:1D:4B:F3:47:9E,2005"
001d4bf347a0,00:1D:4B:F3:47:A0,00:1D:4B:F3:47:A3,4846,"001d4bf347a0,00:1D:4B:F3:47:A0,00:1D:4B:F3:47:A2,4846"
001d4bf347a4,00:1D:4B:F3:47:A4,00:1D:4B:F3:47:A7,4695,"001d4bf347a4,00:1D:4B:F3:47:A4,00:1D:4B:F3:47:A6,4695"
001d4bf347a8,00:1D:4B:F3:47:A8,00:1D:4B:F3:47:AB,4646,"001d4bf347a8,00:1D:4B:F3:47:A8,00:1D:4B:F3:47:AA,4646"
001d4bf347ac,00:1D:4B:F3:47:AC,00:1D:4B:F3:47:AF,9430,"001d4bf347ac,00:1D:4B:F3:47:AC,00:1D:4B:F3:47:AE,9430"
001d4bf347b0,00:1D:4B:F3:47:B0,00:1D:4B:F3:47:B3,1653,"001d4bf347b0,00:1D:4B:F3:47:B0,00:1D:4B:F3:47:B2,1653"
001d4bf347b4,00:1D:4B:F3:47:B4,00:1D:4B:F3:47:B7,1111,"001d4bf347b4,00:1D:4B:F3:47:B4,00:1D:4B:F3:47:B6,1111"
001d4bf347b8,00:1D:4B:F3:47:B8,00:1D:4B:F3:47:BB,2448,"001d4bf347b8,00:1D:4B:F3:47:B8,00:1D:4B:F3:47:BA,2448"
001d4bf347bc,00:1D:4B:F3:47:BC,00:1D:4B:F3:47:BF,7245,"001d4bf347bc,00:1D:4B:F3:47:BC,00:1D:4B:F3:47:BE,7245"
001d4bf347c0,00:1D:4B:F3:47:C0,00:1D:4B:F3:47:C3,2576,"001d4bf347c0,00:1D:4B:F3:47:C0,00:1D:4B:F3:47:C2,2576"
001d4bf347c4,00:1D:4B:F3:47:C4,00:1D:4B:F3:47:C7,1580,"001d4bf347c4,00:1D:4B:F3:47:C4,00:1D:4B:F3:47:C6,1580"
001d4bf347c8,00:1D:4B:F3:47:C8,00:1D:4B:F3:47:CB,5827,"001d4bf347c8,00:1D:4B:F3:47:C8,00:1D:4B:F3:47:CA,5827"
001d4bf347cc,00:1D:4B:F3:47:CC,00:1D:4B:F3:47:CF,7186,"001d4bf347cc,00:1D:4B:F3:47:CC,00:1D:4B:F3:47:CE,7186"
001d4bf347d0,00:1D:4B:F3:47:D0,00:1D:4B:F3:47:D3,3083,"001d4bf347d0,00:1D:4B:F3:47:D0,00:1D:4B:F3:47:D2,3083"
001d4bf347d4,00:1D:4B:F3:47:D4,00:1D:4B:F3:47:D7,7892,"001d4bf347d4,00:1D:4B:F3:47:D4,00:1D:4B:F3:47:D6,7892"
001d4bf347d8,00:1D:4B:F3:47:D8,00:1D:4B:F3:47:DB,2286,"001d4bf347d8,00:1D:4B:F3:47:D8,00:1D:4B:F3:47:DA,2286"
001d4bf347dc,00:1D:4B:F3:47:DC,00:1D:4B:F3:47:DF,7681,"001d4bf347dc,00:1D:4B:F3:47:DC,00:1D:4B:F3:47:DE,7681"
001d4bf347e0,00:1D:4B:F3:47:E0,00:1D:4B:F3:47:E3,3235,"001d4bf347e0,00:1D:4B:F3:47:E0,00:1D:4B:F3:47:E2,3235"
001d4bf347e4,00:1D:4B:F3:47:E4,00:1D:4B:F3:47:E7,3231,"001d4bf347e4,00:1D:4B:F3:47:E4,00:1D:4B:F3:47:E6,3231"
001d4bf347e8,00:1D:4B:F3:47:E8,00:1D:4B:F3:47:EB,2214,"001d4bf347e8,00:1D:4B:F3:47:E8,00:1D:4B:F3:47:EA,2214"
001d4bf347ec,00:1D:4B:F3:47:EC,00:1D:4B:F3:47:EF,8004,"001d4bf347ec,00:1D:4B:F3:47:EC,00:1D:4B:F3:47:EE,8004"
001d4bf347f0,00:1D:4B:F3:47:F0,00:1D:4B:F3:47:F3,0510,"001d4bf347f0,00:1D:4B:F3:47:F0,00:1D:4B:F3:47:F2,0510"
001d4bf347f4,00:1D:4B:F3:47:F4,00:1D:4B:F3:47:F7,5116,"001d4bf347f4,00:1D:4B:F3:47:F4,00:1D:4B:F3:47:F6,5116"
001d4bf347f8,00:1D:4B:F3:47:F8,00:1D:4B:F3:47:FB,7196,"001d4bf347f8,00:1D:4B:F3:47:F8,00:1D:4B:F3:47:FA,7196"
001d4bf347fc,00:1D:4B:F3:47:FC,00:1D:4B:F3:47:FF,9074,"001d4bf347fc,00:1D:4B:F3:47:FC,00:1D:4B:F3:47:FE,9074"
001d4bf34800,00:1D:4B:F3:48:00,00:1D:4B:F3:48:03,6795,"001d4bf34800,00:1D:4B:F3:48:00,00:1D:4B:F3:48:02,6795"
001d4bf34804,00:1D:4B:F3:48:04,00:1D:4B:F3:48:07,7826,"001d4bf34804,00:1D:4B:F3:48:04,00:1D:4B:F3:48:06,7826"
001d4bf34808,00:1D:4B:F3:48:08,00:1D:4B:F3:48:0B,8865,"001d4bf34808,00:1D:4B:F3:48:08,00:1D:4B:F3:48:0A,8865"
001d4bf3480c,00:1D:4B:F3:48:0C,00:1D:4B:F3:48:0F,5583,"001d4bf3480c,00:1D:4B:F3:48:0C,00:1D:4B:F3:48:0E,5583"
001d4bf34810,00:1D:4B:F3:48:10,00:1D:4B:F3:48:13,8108,"001d4bf34810,00:1D:4B:F3:48:10,00:1D:4B:F3:48:12,8108"
001d4bf34814,00:1D:4B:F3:48:14,00:1D:4B:F3:48:17,0953,"001d4bf34814,00:1D:4B:F3:48:14,00:1D:4B:F3:48:16,0953"
001d4bf34818,00:1D:4B:F3:48:18,00:1D:4B:F3:48:1B,1698,"001d4bf34818,00:1D:4B:F3:48:18,00:1D:4B:F3:48:1A,1698"
001d4bf3481c,00:1D:4B:F3:48:1C,00:1D:4B:F3:48:1F,6124,"001d4bf3481c,00:1D:4B:F3:48:1C,00:1D:4B:F3:48:1E,6124"
001d4bf34820,00:1D:4B:F3:48:20,00:1D:4B:F3:48:23,0287,"001d4bf34820,00:1D:4B:F3:48:20,00:1D:4B:F3:48:22,0287"
001d4bf34824,00:1D:4B:F3:48:24,00:1D:4B:F3:48:27,1517,"001d4bf34824,00:1D:4B:F3:48:24,00:1D:4B:F3:48:26,1517"
001d4bf34828,00:1D:4B:F3:48:28,00:1D:4B:F3:48:2B,9929,"001d4bf34828,00:1D:4B:F3:48:28,00:1D:4B:F3:48:2A,9929"
001d4bf3482c,00:1D:4B:F3:48:2C,00:1D:4B:F3:48:2F,8555,"001d4bf3482c,00:1D:4B:F3:48:2C,00:1D:4B:F3:48:2E,8555"
001d4bf34830,00:1D:4B:F3:48:30,00:1D:4B:F3:48:33,9269,"001d4bf34830,00:1D:4B:F3:48:30,00:1D:4B:F3:48:32,9269"
001d4bf34834,00:1D:4B:F3:48:34,00:1D:4B:F3:48:37,4084,"001d4bf34834,00:1D:4B:F3:48:34,00:1D:4B:F3:48:36,4084"
001d4bf34838,00:1D:4B:F3:48:38,00:1D:4B:F3:48:3B,8268,"001d4bf34838,00:1D:4B:F3:48:38,00:1D:4B:F3:48:3A,8268"
001d4bf3483c,00:1D:4B:F3:48:3C,00:1D:4B:F3:48:3F,3965,"001d4bf3483c,00:1D:4B:F3:48:3C,00:1D:4B:F3:48:3E,3965"
001d4bf34840,00:1D:4B:F3:48:40,00:1D:4B:F3:48:43,4081,"001d4bf34840,00:1D:4B:F3:48:40,00:1D:4B:F3:48:42,4081"
001d4bf34844,00:1D:4B:F3:48:44,00:1D:4B:F3:48:47,6290,"001d4bf34844,00:1D:4B:F3:48:44,00:1D:4B:F3:48:46,6290"
001d4bf34848,00:1D:4B:F3:48:48,00:1D:4B:F3:48:4B,7483,"001d4bf34848,00:1D:4B:F3:48:48,00:1D:4B:F3:48:4A,7483"
001d4bf3484c,00:1D:4B:F3:48:4C,00:1D:4B:F3:48:4F,2110,"001d4bf3484c,00:1D:4B:F3:48:4C,00:1D:4B:F3:48:4E,2110"
001d4bf34850,00:1D:4B:F3:48:50,00:1D:4B:F3:48:53,6472,"001d4bf34850,00:1D:4B:F3:48:50,00:1D:4B:F3:48:52,6472"
001d4bf34854,00:1D:4B:F3:48:54,00:1D:4B:F3:48:57,6632,"001d4bf34854,00:1D:4B:F3:48:54,00:1D:4B:F3:48:56,6632"
001d4bf34858,00:1D:4B:F3:48:58,00:1D:4B:F3:48:5B,6135,"001d4bf34858,00:1D:4B:F3:48:58,00:1D:4B:F3:48:5A,6135"
001d4bf3485c,00:1D:4B:F3:48:5C,00:1D:4B:F3:48:5F,4097,"001d4bf3485c,00:1D:4B:F3:48:5C,00:1D:4B:F3:48:5E,4097"
001d4bf34860,00:1D:4B:F3:48:60,00:1D:4B:F3:48:63,9185,"001d4bf34860,00:1D:4B:F3:48:60,00:1D:4B:F3:48:62,9185"
001d4bf34864,00:1D:4B:F3:48:64,00:1D:4B:F3:48:67,1449,"001d4bf34864,00:1D:4B:F3:48:64,00:1D:4B:F3:48:66,1449"
001d4bf34868,00:1D:4B:F3:48:68,00:1D:4B:F3:48:6B,2773,"001d4bf34868,00:1D:4B:F3:48:68,00:1D:4B:F3:48:6A,2773"
001d4bf3486c,00:1D:4B:F3:48:6C,00:1D:4B:F3:48:6F,4047,"001d4bf3486c,00:1D:4B:F3:48:6C,00:1D:4B:F3:48:6E,4047"
001d4bf34870,00:1D:4B:F3:48:70,00:1D:4B:F3:48:73,4065,"001d4bf34870,00:1D:4B:F3:48:70,00:1D:4B:F3:48:72,4065"
001d4bf34874,00:1D:4B:F3:48:74,00:1D:4B:F3:48:77,1180,"001d4bf34874,00:1D:4B:F3:48:74,00:1D:4B:F3:48:76,1180"
001d4bf34878,00:1D:4B:F3:48:78,00:1D:4B:F3:48:7B,9831,"001d4bf34878,00:1D:4B:F3:48:78,00:1D:4B:F3:48:7A,9831"
001d4bf3487c,00:1D:4B:F3:48:7C,00:1D:4B:F3:48:7F,0649,"001d4bf3487c,00:1D:4B:F3:48:7C,00:1D:4B:F3:48:7E,0649"
001d4bf34880,00:1D:4B:F3:48:80,00:1D:4B:F3:48:83,0486,"001d4bf34880,00:1D:4B:F3:48:80,00:1D:4B:F3:48:82,0486"
001d4bf34884,00:1D:4B:F3:48:84,00:1D:4B:F3:48:87,4014,"001d4bf34884,00:1D:4B:F3:48:84,00:1D:4B:F3:48:86,4014"
001d4bf34888,00:1D:4B:F3:48:88,00:1D:4B:F3:48:8B,2703,"001d4bf34888,00:1D:4B:F3:48:88,00:1D:4B:F3:48:8A,2703"
001d4bf3488c,00:1D:4B:F3:48:8C,00:1D:4B:F3:48:8F,7629,"001d4bf3488c,00:1D:4B:F3:48:8C,00:1D:4B:F3:48:8E,7629"
001d4bf34890,00:1D:4B:F3:48:90,00:1D:4B:F3:48:93,9083,"001d4bf34890,00:1D:4B:F3:48:90,00:1D:4B:F3:48:92,9083"
001d4bf34894,00:1D:4B:F3:48:94,00:1D:4B:F3:48:97,0050,"001d4bf34894,00:1D:4B:F3:48:94,00:1D:4B:F3:48:96,0050"
001d4bf34898,00:1D:4B:F3:48:98,00:1D:4B:F3:48:9B,0400,"001d4bf34898,00:1D:4B:F3:48:98,00:1D:4B:F3:48:9A,0400"
001d4bf3489c,00:1D:4B:F3:48:9C,00:1D:4B:F3:48:9F,0048,"001d4bf3489c,00:1D:4B:F3:48:9C,00:1D:4B:F3:48:9E,0048"
001d4bf348a0,00:1D:4B:F3:48:A0,00:1D:4B:F3:48:A3,1201,"001d4bf348a0,00:1D:4B:F3:48:A0,00:1D:4B:F3:48:A2,1201"
001d4bf348a4,00:1D:4B:F3:48:A4,00:1D:4B:F3:48:A7,9898,"001d4bf348a4,00:1D:4B:F3:48:A4,00:1D:4B:F3:48:A6,9898"
001d4bf348a8,00:1D:4B:F3:48:A8,00:1D:4B:F3:48:AB,3182,"001d4bf348a8,00:1D:4B:F3:48:A8,00:1D:4B:F3:48:AA,3182"
001d4bf348ac,00:1D:4B:F3:48:AC,00:1D:4B:F3:48:AF,7169,"001d4bf348ac,00:1D:4B:F3:48:AC,00:1D:4B:F3:48:AE,7169"
001d4bf348b0,00:1D:4B:F3:48:B0,00:1D:4B:F3:48:B3,6445,"001d4bf348b0,00:1D:4B:F3:48:B0,00:1D:4B:F3:48:B2,6445"
001d4bf348b4,00:1D:4B:F3:48:B4,00:1D:4B:F3:48:B7,5822,"001d4bf348b4,00:1D:4B:F3:48:B4,00:1D:4B:F3:48:B6,5822"
001d4bf348b8,00:1D:4B:F3:48:B8,00:1D:4B:F3:48:BB,4866,"001d4bf348b8,00:1D:4B:F3:48:B8,00:1D:4B:F3:48:BA,4866"
001d4bf348bc,00:1D:4B:F3:48:BC,00:1D:4B:F3:48:BF,8519,"001d4bf348bc,00:1D:4B:F3:48:BC,00:1D:4B:F3:48:BE,8519"
001d4bf348c0,00:1D:4B:F3:48:C0,00:1D:4B:F3:48:C3,7738,"001d4bf348c0,00:1D:4B:F3:48:C0,00:1D:4B:F3:48:C2,7738"
001d4bf348c4,00:1D:4B:F3:48:C4,00:1D:4B:F3:48:C7,6402,"001d4bf348c4,00:1D:4B:F3:48:C4,00:1D:4B:F3:48:C6,6402"
001d4bf348c8,00:1D:4B:F3:48:C8,00:1D:4B:F3:48:CB,8965,"001d4bf348c8,00:1D:4B:F3:48:C8,00:1D:4B:F3:48:CA,8965"
001d4bf348cc,00:1D:4B:F3:48:CC,00:1D:4B:F3:48:CF,5369,"001d4bf348cc,00:1D:4B:F3:48:CC,00:1D:4B:F3:48:CE,5369"
001d4bf348d0,00:1D:4B:F3:48:D0,00:1D:4B:F3:48:D3,0992,"001d4bf348d0,00:1D:4B:F3:48:D0,00:1D:4B:F3:48:D2,0992"
001d4bf348d4,00:1D:4B:F3:48:D4,00:1D:4B:F3:48:D7,8421,"001d4bf348d4,00:1D:4B:F3:48:D4,00:1D:4B:F3:48:D6,8421"
001d4bf348d8,00:1D:4B:F3:48:D8,00:1D:4B:F3:48:DB,3516,"001d4bf348d8,00:1D:4B:F3:48:D8,00:1D:4B:F3:48:DA,3516"
001d4bf348dc,00:1D:4B:F3:48:DC,00:1D:4B:F3:48:DF,7045,"001d4bf348dc,00:1D:4B:F3:48:DC,00:1D:4B:F3:48:DE,7045"
001d4bf348e0,00:1D:4B:F3:48:E0,00:1D:4B:F3:48:E3,8723,"001d4bf348e0,00:1D:4B:F3:48:E0,00:1D:4B:F3:48:E2,8723"
001d4bf348e4,00:1D:4B:F3:48:E4,00:1D:4B:F3:48:E7,2255,"001d4bf348e4,00:1D:4B:F3:48:E4,00:1D:4B:F3:48:E6,2255"
001d4bf348e8,00:1D:4B:F3:48:E8,00:1D:4B:F3:48:EB,2368,"001d4bf348e8,00:1D:4B:F3:48:E8,00:1D:4B:F3:48:EA,2368"
001d4bf348ec,00:1D:4B:F3:48:EC,00:1D:4B:F3:48:EF,6033,"001d4bf348ec,00:1D:4B:F3:48:EC,00:1D:4B:F3:48:EE,6033"
001d4bf348f0,00:1D:4B:F3:48:F0,00:1D:4B:F3:48:F3,1448,"001d4bf348f0,00:1D:4B:F3:48:F0,00:1D:4B:F3:48:F2,1448"
001d4bf348f4,00:1D:4B:F3:48:F4,00:1D:4B:F3:48:F7,9876,"001d4bf348f4,00:1D:4B:F3:48:F4,00:1D:4B:F3:48:F6,9876"
001d4bf348f8,00:1D:4B:F3:48:F8,00:1D:4B:F3:48:FB,1867,"001d4bf348f8,00:1D:4B:F3:48:F8,00:1D:4B:F3:48:FA,1867"
001d4bf348fc,00:1D:4B:F3:48:FC,00:1D:4B:F3:48:FF,2819,"001d4bf348fc,00:1D:4B:F3:48:FC,00:1D:4B:F3:48:FE,2819"
001d4bf34900,00:1D:4B:F3:49:00,00:1D:4B:F3:49:03,1368,"001d4bf34900,00:1D:4B:F3:49:00,00:1D:4B:F3:49:02,1368"
001d4bf34904,00:1D:4B:F3:49:04,00:1D:4B:F3:49:07,3728,"001d4bf34904,00:1D:4B:F3:49:04,00:1D:4B:F3:49:06,3728"
001d4bf34908,00:1D:4B:F3:49:08,00:1D:4B:F3:49:0B,1896,"001d4bf34908,00:1D:4B:F3:49:08,00:1D:4B:F3:49:0A,1896"
001d4bf3490c,00:1D:4B:F3:49:0C,00:1D:4B:F3:49:0F,0202,"001d4bf3490c,00:1D:4B:F3:49:0C,00:1D:4B:F3:49:0E,0202"
